Company,Title,Description,Salary,Contract Type,Location,Date de publication
BRIKS,Energie Manager F/H,"Cette entreprise fer de lance de l'innovation CVC souhaite relever le défi environnemental en participant à la décarbonation du chauffage et de la climatisation des bâtiments, qui représentent 10% des émissions mondiales de CO2.  Nous recherchons actuellement un Energy Manager...",N/A,CDI,Vincennes - 94,18/10/2023
UPTOO,Technico-Commercial - Industrie F/H,"Rattaché.e au Responsable Customer Service Center, vous rejoignez une équipe dune douzaine de personnes.   Votre responsabilité : assurer linterface technique et commerciale des affaires selon les impératifs de délais, coûts et qualité.  Vous participez à la revue des contrats...",N/A,CDI,Gennevilliers - 92,18/10/2023
OPENSOURCING S.A,Chef d'équipe commerciale F/H,"Opensourcing recherche pour l'un ses clients, leader de la formation linguistique à distance, un(e) :   Chef d'équipe commerciale H/F   Poste basé à Paris 8, à pourvoir en CDI   Missions :    Supervision de l'équipe : Diriger, motiver et encadrer l'équipe commerciale, fixer des...",N/A,CDI,Paris 08 - 75,18/10/2023
Solaris,Store Manager  - SGH - Haussmann F/H,"Vous souhaitez intégrer une entreprise internationale, en forte croissance en France et vous êtes passionné(e) par la mode Rejoignez les équipes Sunglass Hut !  Vos principales missions seront de :  1. Piloter le point de vente :- En assurant l'atteinte des objectifs (CA et KPIs...",N/A,CDI,Paris 01 - 75,18/10/2023
Cap Face Nord,Collaborateur Comptable - anglais courant CDI F/H,"CAP FACE NORD, cabinet de recrutement et de chasse, recrute pour l'un de ses clients - cabinet d'expertise comptable, un Collaborateur Comptable - anglais courant H/F en CDI pour son site de Paris 8ème (75).  Rattaché(e) à un ou plusieurs Chef(s) de Mission en fonction des...",N/A,CDI,Paris 08 - 75,18/10/2023
Cap Face Nord,Gestionnaire de Paie CDI F/H,"CAP FACE NORD, cabinet de recrutement et de chasse, recrute pour l'un de ses clients - cabinet d'expertise comptable, un Gestionnaire de Paie H/F en CDI pour son site de Paris 8ème (75). Intégré(e) au sein d'un pôle social structuré et en lien avec les Directeurs de Département,...",N/A,CDI,Paris 08 - 75,18/10/2023
Cap Face Nord,Collaborateur Comptable Confirmé CDI F/H,"CAP FACE NORD, cabinet de recrutement et de chasse, recrute pour l'un de ses clients - cabinet d'expertise comptable, un Collaborateur Comptable Confirmé H/F en CDI pour son site de Paris 09ème (75).   En lien direct avec l'Associé et les Managers du pôle, vous intégrez le pôle...",N/A,CDI,Paris 09 - 75,18/10/2023
Cap Face Nord,Collaborateur Comptable CDI F/H,"CAP FACE NORD, cabinet de recrutement et de chasse, recrute pour l'un de ses clients - cabinet d'expertise comptable, un Collaborateur Comptable H/F en CDI pour son site de Brou sur Chantereine (77).   Intégré au sein d'un pôle structuré, vous prenez en charge la gestion d'un...",N/A,CDI,Brou-sur-Chantereine - 77,18/10/2023
Ginger Deleo,Chef de projets en maîtrise d'oeuvre de déconstruction/désamiantage - F/H,"Venez rejoindre un métier mixant la conception technique et le suivi de travaux, aux enjeux environnementaux forts (réemploi, recyclage, économie carbone). Rejoindre Ginger DELEO c'est rejoindre une entreprise spécialisée en pleine croissance, offrant une ambiance de travail...",N/A,CDI,Avon - 77,18/10/2023
Cap Face Nord,Collaborateur Comptable CDI F/H,"CAP FACE NORD, cabinet de recrutement et de chasse, recrute pour l'un de ses clients - cabinet d'expertise comptable, un Collaborateur Comptable H/F en CDI pour son site de Armainvilliers (77)   Intégré au sein d'un pôle structuré, vous prenez en charge la gestion d'un...",N/A,CDI,Gretz-Armainvilliers - 77,18/10/2023
